selected model:  Density
Training time: 0.0 minutes.
selected model:  DTW
paramIndex: 8622145
cur(405), end(2183), percent[18.55%], dist(0.62)
cur(406), end(2183), percent[18.6%], dist(0.62)
cur(407), end(2183), percent[18.64%], dist(0.62)
cur(408), end(2183), percent[18.69%], dist(0.62)
cur(409), end(2183), percent[18.74%], dist(0.62)
cur(410), end(2183), percent[18.78%], dist(0.62)
cur(411), end(2183), percent[18.83%], dist(0.62)
cur(412), end(2183), percent[18.87%], dist(0.62)
cur(413), end(2183), percent[18.92%], dist(0.62)
cur(414), end(2183), percent[18.96%], dist(0.62)
cur(415), end(2183), percent[19.01%], dist(0.62)
cur(416), end(2183), percent[19.06%], dist(0.62)
cur(417), end(2183), percent[19.1%], dist(0.62)
cur(418), end(2183), percent[19.15%], dist(0.62)
cur(419), end(2183), percent[19.19%], dist(0.62)
cur(420), end(2183), percent[19.24%], dist(0.62)
cur(421), end(2183), percent[19.29%], dist(0.62)
cur(422), end(2183), percent[19.33%], dist(0.62)
cur(423), end(2183), percent[19.38%], dist(0.62)
cur(424), end(2183), percent[19.42%], dist(0.62)
cur(425), end(2183), percent[19.47%], dist(0.62)
cur(426), end(2183), percent[19.51%], dist(0.62)
cur(427), end(2183), percent[19.56%], dist(0.62)
cur(428), end(2183), percent[19.61%], dist(0.62)
cur(429), end(2183), percent[19.65%], dist(0.62)
cur(430), end(2183), percent[19.7%], dist(0.62)
cur(431), end(2183), percent[19.74%], dist(0.62)
cur(432), end(2183), percent[19.79%], dist(0.62)
cur(433), end(2183), percent[19.84%], dist(0.62)
cur(434), end(2183), percent[19.88%], dist(0.62)
cur(435), end(2183), percent[19.93%], dist(0.62)
cur(436), end(2183), percent[19.97%], dist(0.62)
cur(437), end(2183), percent[20.02%], dist(0.62)
cur(438), end(2183), percent[20.06%], dist(0.62)
cur(439), end(2183), percent[20.11%], dist(0.62)
cur(440), end(2183), percent[20.16%], dist(0.62)
cur(441), end(2183), percent[20.2%], dist(0.62)
cur(442), end(2183), percent[20.25%], dist(0.62)
cur(443), end(2183), percent[20.29%], dist(0.62)
cur(444), end(2183), percent[20.34%], dist(0.62)
cur(445), end(2183), percent[20.38%], dist(0.62)
cur(446), end(2183), percent[20.43%], dist(0.62)
cur(447), end(2183), percent[20.48%], dist(0.62)
cur(448), end(2183), percent[20.52%], dist(0.62)
cur(449), end(2183), percent[20.57%], dist(0.62)
cur(450), end(2183), percent[20.61%], dist(0.62)
cur(451), end(2183), percent[20.66%], dist(0.62)
cur(452), end(2183), percent[20.71%], dist(0.62)
cur(453), end(2183), percent[20.75%], dist(0.62)
cur(454), end(2183), percent[20.8%], dist(0.62)
cur(455), end(2183), percent[20.84%], dist(0.62)
cur(456), end(2183), percent[20.89%], dist(0.62)
cur(457), end(2183), percent[20.93%], dist(0.62)
cur(458), end(2183), percent[20.98%], dist(0.62)
cur(459), end(2183), percent[21.03%], dist(0.62)
cur(460), end(2183), percent[21.07%], dist(0.62)
cur(461), end(2183), percent[21.12%], dist(0.62)
cur(462), end(2183), percent[21.16%], dist(0.62)
cur(463), end(2183), percent[21.21%], dist(0.62)
cur(464), end(2183), percent[21.26%], dist(0.62)
cur(465), end(2183), percent[21.3%], dist(0.62)
cur(466), end(2183), percent[21.35%], dist(0.62)
cur(467), end(2183), percent[21.39%], dist(0.62)
cur(468), end(2183), percent[21.44%], dist(0.62)
cur(469), end(2183), percent[21.48%], dist(0.62)
cur(470), end(2183), percent[21.53%], dist(0.62)
cur(471), end(2183), percent[21.58%], dist(0.62)
cur(472), end(2183), percent[21.62%], dist(0.62)
cur(473), end(2183), percent[21.67%], dist(0.62)
cur(474), end(2183), percent[21.71%], dist(0.62)
cur(475), end(2183), percent[21.76%], dist(0.62)
cur(476), end(2183), percent[21.8%], dist(0.62)
cur(477), end(2183), percent[21.85%], dist(0.62)
cur(478), end(2183), percent[21.9%], dist(0.62)
cur(479), end(2183), percent[21.94%], dist(0.62)
cur(480), end(2183), percent[21.99%], dist(0.62)
cur(481), end(2183), percent[22.03%], dist(0.62)
cur(482), end(2183), percent[22.08%], dist(0.62)
cur(483), end(2183), percent[22.13%], dist(0.62)
cur(484), end(2183), percent[22.17%], dist(0.62)
cur(485), end(2183), percent[22.22%], dist(0.62)
cur(486), end(2183), percent[22.26%], dist(0.62)
cur(487), end(2183), percent[22.31%], dist(0.62)
cur(488), end(2183), percent[22.35%], dist(0.62)
cur(489), end(2183), percent[22.4%], dist(0.62)
cur(490), end(2183), percent[22.45%], dist(0.62)
cur(491), end(2183), percent[22.49%], dist(0.62)
cur(492), end(2183), percent[22.54%], dist(0.62)
cur(493), end(2183), percent[22.58%], dist(0.62)
cur(494), end(2183), percent[22.63%], dist(0.62)
cur(495), end(2183), percent[22.68%], dist(0.62)
cur(496), end(2183), percent[22.72%], dist(0.62)
cur(497), end(2183), percent[22.77%], dist(0.62)
cur(498), end(2183), percent[22.81%], dist(0.62)
cur(499), end(2183), percent[22.86%], dist(0.62)
cur(500), end(2183), percent[22.9%], dist(0.62)
cur(501), end(2183), percent[22.95%], dist(0.62)
cur(502), end(2183), percent[23.0%], dist(0.62)
cur(503), end(2183), percent[23.04%], dist(0.62)
cur(504), end(2183), percent[23.09%], dist(0.62)
cur(505), end(2183), percent[23.13%], dist(0.62)
cur(506), end(2183), percent[23.18%], dist(0.62)
cur(507), end(2183), percent[23.22%], dist(0.62)
cur(508), end(2183), percent[23.27%], dist(0.62)
cur(509), end(2183), percent[23.32%], dist(0.62)
cur(510), end(2183), percent[23.36%], dist(0.62)
cur(511), end(2183), percent[23.41%], dist(0.62)
cur(512), end(2183), percent[23.45%], dist(0.62)
cur(513), end(2183), percent[23.5%], dist(0.62)
cur(514), end(2183), percent[23.55%], dist(0.62)
cur(515), end(2183), percent[23.59%], dist(0.62)
cur(516), end(2183), percent[23.64%], dist(0.62)
cur(517), end(2183), percent[23.68%], dist(0.62)
cur(518), end(2183), percent[23.73%], dist(0.62)
cur(519), end(2183), percent[23.77%], dist(0.62)
cur(520), end(2183), percent[23.82%], dist(0.62)
cur(521), end(2183), percent[23.87%], dist(0.62)
cur(522), end(2183), percent[23.91%], dist(0.62)
cur(523), end(2183), percent[23.96%], dist(0.62)
cur(524), end(2183), percent[24.0%], dist(0.62)
cur(525), end(2183), percent[24.05%], dist(0.62)
cur(526), end(2183), percent[24.1%], dist(0.62)
cur(527), end(2183), percent[24.14%], dist(0.62)
